Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
407,300,15,3,1020,0,65535,0,0,0
408,300,15,3,1021,0,65535,0,0,0
409,300,15,3,1022,0,65535,0,0,0
410,300,15,3,1022,0,65535,0,0,0
411,299,15,3,1022,-1,65535,0,0,0
412,299,14,4,1020,-1,65535,0,0,0
413,300,20,5,1021,0,65535,0,0,0
414,300,20,7,1021,0,65535,0,0,0
415,297,17,65534,1016,-3,65535,0,0,0
416,291,15,65532,1027,-9,65535,0,0,0
417,294,19,0,1013,-6,65535,0,0,0
418,293,19,2,1015,-7,65535,0,0,0
419,294,19,5,1007,-6,65535,0,0,0
420,297,17,7,1011,-3,65535,0,0,0
421,296,17,7,1007,-4,65535,0,0,0
422,296,18,7,1010,-4,65535,0,0,0
423,301,16,4,1009,1,65535,0,0,0
424,307,15,2,1011,7,65535,0,0,0
425,306,14,1,1011,6,65535,0,0,0
426,307,14,1,1014,7,65535,0,0,0
427,311,15,2,1016,11,65535,0,0,0
428,317,15,4,1017,17,65535,0,0,0
429,316,15,4,1019,16,65535,0,0,0
430,317,15,3,1019,17,65535,0,0,0
431,321,15,3,1020,21,65535,0,0,0
432,329,15,3,1019,29,65535,0,0,0
433,325,15,3,1020,25,65535,0,0,0
434,326,15,4,1019,26,65535,0,0,0
435,333,14,3,1015,33,65535,0,0,0
436,342,15,2,1013,42,65535,0,0,0
437,341,15,2,1013,41,65535,0,0,0
438,341,16,2,1014,41,65535,0,0,0
439,350,16,2,1018,50,65535,0,0,0
440,357,15,2,1018,57,65535,0,0,0
441,355,15,2,1019,55,65535,0,0,0
442,356,14,1,1017,56,65535,0,0,0
443,361,14,1,1017,61,65535,0,0,0
444,364,14,0,1017,64,65535,0,0,0
445,364,14,0,1018,64,65535,0,0,0
446,364,14,1,1018,64,65535,0,0,0
447,361,14,3,1019,61,65535,0,0,0
448,358,15,3,1019,58,65535,0,0,0
449,359,16,3,1019,59,65535,0,0,0
450,360,15,3,1019,60,65535,0,0,0
451,356,15,3,1017,56,65535,0,0,0
452,355,14,3,1016,55,65535,0,0,0
453,356,14,3,1015,56,65535,0,0,0
454,356,14,2,1014,56,65535,0,0,0
455,347,14,2,1015,47,65535,0,0,0
456,344,14,2,1015,44,65535,0,0,0
457,345,14,2,1015,45,65535,0,0,0
458,345,15,2,1015,45,65535,0,0,0
459,334,15,2,1018,34,65535,0,0,0
460,331,15,2,1019,31,65535,0,0,0
